station_id,recorded_at,voltage_kv,load_percent,temperature_c,quality,source,sequence_number
EG-001,2026-03-01T00:00:00Z,66.937,52.784,42.265,ok,demo-generator,1
EG-001,2026-03-01T00:15:00Z,66.857,53.758,42.174,ok,demo-generator,2
EG-001,2026-03-01T00:30:00Z,66.869,54.657,43.619,ok,demo-generator,3
EG-001,2026-03-01T00:45:00Z,67.006,53.309,43.766,ok,demo-generator,4
EG-001,2026-03-01T01:00:00Z,66.676,54.687,43.589,ok,demo-generator,5
EG-001,2026-03-01T01:15:00Z,66.650,56.835,45.057,ok,demo-generator,6
EG-001,2026-03-01T01:30:00Z,66.415,56.938,44.867,ok,demo-generator,7
EG-001,2026-03-01T01:45:00Z,66.555,54.580,45.223,ok,demo-generator,8
EG-001,2026-03-01T02:00:00Z,67.043,55.335,45.605,ok,demo-generator,9
EG-001,2026-03-01T02:15:00Z,66.744,55.817,45.570,ok,demo-generator,10
EG-001,2026-03-01T02:30:00Z,66.866,56.410,47.107,ok,demo-generator,11
EG-001,2026-03-01T02:45:00Z,67.043,55.563,48.016,ok,demo-generator,12
EG-001,2026-03-01T03:00:00Z,67.085,54.739,47.626,ok,demo-generator,13
EG-001,2026-03-01T03:15:00Z,66.954,54.360,47.614,ok,demo-generator,14
EG-001,2026-03-01T03:30:00Z,67.093,55.631,48.912,ok,demo-generator,15
EG-001,2026-03-01T03:45:00Z,67.232,56.104,48.264,ok,demo-generator,16
EG-001,2026-03-01T04:00:00Z,66.845,54.589,48.617,ok,demo-generator,17
EG-001,2026-03-01T04:15:00Z,67.052,56.057,51.078,ok,demo-generator,18
EG-001,2026-03-01T04:30:00Z,66.788,55.678,49.477,ok,demo-generator,19
EG-001,2026-03-01T04:45:00Z,67.095,55.707,49.820,ok,demo-generator,20
EG-001,2026-03-01T05:00:00Z,67.210,56.775,51.776,ok,demo-generator,21
EG-001,2026-03-01T05:15:00Z,66.941,55.406,51.040,ok,demo-generator,22
EG-001,2026-03-01T05:30:00Z,66.726,56.892,51.404,ok,demo-generator,23
EG-001,2026-03-01T05:45:00Z,66.782,54.786,50.965,ok,demo-generator,24
EG-001,2026-03-01T06:00:00Z,67.093,55.845,52.340,ok,demo-generator,25
EG-001,2026-03-01T06:15:00Z,66.947,55.423,53.129,ok,demo-generator,26
EG-001,2026-03-01T06:30:00Z,67.104,56.087,53.183,ok,demo-generator,27
EG-001,2026-03-01T06:45:00Z,66.827,57.245,54.352,ok,demo-generator,28
EG-001,2026-03-01T07:00:00Z,66.679,56.689,54.569,ok,demo-generator,29
EG-001,2026-03-01T07:15:00Z,66.972,58.949,54.786,ok,demo-generator,30
EG-001,2026-03-01T07:30:00Z,66.840,56.906,55.664,ok,demo-generator,31
EG-001,2026-03-01T07:45:00Z,66.568,60.052,56.108,ok,demo-generator,32
EG-001,2026-03-01T08:00:00Z,66.450,58.626,54.669,ok,demo-generator,33
EG-001,2026-03-01T08:15:00Z,66.488,58.152,55.360,ok,demo-generator,34
EG-001,2026-03-01T08:30:00Z,66.863,59.466,55.852,ok,demo-generator,35
EG-001,2026-03-01T08:45:00Z,66.746,60.325,56.179,ok,demo-generator,36
EG-001,2026-03-01T09:00:00Z,66.280,61.202,57.112,ok,demo-generator,37
EG-001,2026-03-01T09:15:00Z,66.429,62.772,57.496,ok,demo-generator,38
EG-001,2026-03-01T09:30:00Z,66.778,61.627,56.403,ok,demo-generator,39
EG-001,2026-03-01T09:45:00Z,66.199,63.195,57.925,ok,demo-generator,40
EG-001,2026-03-01T10:00:00Z,66.574,60.885,57.075,ok,demo-generator,41
EG-001,2026-03-01T10:15:00Z,66.588,62.615,56.896,ok,demo-generator,42
EG-001,2026-03-01T10:30:00Z,66.491,60.994,56.866,ok,demo-generator,43
EG-001,2026-03-01T10:45:00Z,66.634,60.348,55.863,ok,demo-generator,44
EG-001,2026-03-01T11:00:00Z,66.214,62.238,56.716,ok,demo-generator,45
EG-001,2026-03-01T11:15:00Z,66.425,60.682,54.541,ok,demo-generator,46
EG-001,2026-03-01T11:30:00Z,66.650,59.499,53.830,ok,demo-generator,47
EG-001,2026-03-01T11:45:00Z,66.538,59.300,55.219,ok,demo-generator,48
EG-001,2026-03-01T12:00:00Z,66.293,57.797,52.774,ok,demo-generator,49
EG-001,2026-03-01T12:15:00Z,66.036,56.852,52.433,ok,demo-generator,50
EG-001,2026-03-01T12:30:00Z,66.206,55.665,52.421,ok,demo-generator,51
